0,0,0|140.556,199.139,100
43.9237,43.5617,6.25|48.3161,49.7848,9.375
52.7085,24.8924,0|70.278,49.7848,12.5
52.7085,24.8924,0|61.4932,37.3386,6.25
52.7085,24.8924,0|57.1008,31.1155,3.125
52.7085,31.1155,0|57.1008,37.3386,3.125
61.4932,24.8924,0|70.278,37.3386,6.25
61.4932,24.8924,0|65.8856,31.1155,3.125
61.4932,31.1155,0|65.8856,37.3386,3.125
52.7085,37.3386,0|61.4932,49.7848,6.25
52.7085,37.3386,0|57.1008,43.5617,3.125
52.7085,43.5617,0|57.1008,49.7848,3.125
61.4932,37.3386,0|70.278,49.7848,6.25
61.4932,37.3386,0|65.8856,43.5617,3.125
61.4932,43.5617,0|65.8856,49.7848,3.125
52.7085,24.8924,6.25|61.4932,37.3386,12.5
52.7085,24.8924,6.25|57.1008,31.1155,9.375
52.7085,31.1155,6.25|57.1008,37.3386,9.375
61.4932,24.8924,6.25|70.278,37.3386,12.5
61.4932,24.8924,6.25|65.8856,31.1155,9.375
61.4932,31.1155,6.25|65.8856,37.3386,9.375
52.7085,37.3386,6.25|61.4932,49.7848,12.5
52.7085,37.3386,6.25|57.1008,43.5617,9.375
52.7085,43.5617,6.25|57.1008,49.7848,9.375
61.4932,37.3386,6.25|70.278,49.7848,12.5
61.4932,37.3386,6.25|65.8856,43.5617,9.375
61.4932,43.5617,6.25|65.8856,49.7848,9.375
35.139,0,12.5|52.7085,24.8924,25
35.139,0,12.5|43.9237,12.4462,18.75
35.139,0,12.5|39.5314,6.22311,15.625
35.139,6.22311,12.5|39.5314,12.4462,15.625
43.9237,0,12.5|52.7085,12.4462,18.75
43.9237,0,12.5|48.3161,6.22311,15.625
43.9237,6.22311,12.5|48.3161,12.4462,15.625
35.139,12.4462,12.5|43.9237,24.8924,18.75
35.139,12.4462,12.5|39.5314,18.6693,15.625
35.139,18.6693,12.5|39.5314,24.8924,15.625
43.9237,12.4462,12.5|52.7085,24.8924,18.75
43.9237,12.4462,12.5|48.3161,18.6693,15.625
43.9237,18.6693,12.5|48.3161,24.8924,15.625
35.139,0,18.75|43.9237,12.4462,25
35.139,0,18.75|39.5314,6.22311,21.875
35.139,6.22311,18.75|39.5314,12.4462,21.875
43.9237,0,18.75|52.7085,12.4462,25
43.9237,0,18.75|48.3161,6.22311,21.875
43.9237,6.22311,18.75|48.3161,12.4462,21.875
35.139,12.4462,18.75|43.9237,24.8924,25
35.139,12.4462,18.75|39.5314,18.6693,21.875
35.139,18.6693,18.75|39.5314,24.8924,21.875
43.9237,12.4462,18.75|52.7085,24.8924,25
43.9237,12.4462,18.75|48.3161,18.6693,21.875
43.9237,18.6693,18.75|48.3161,24.8924,21.875
52.7085,0,12.5|70.278,24.8924,25
52.7085,0,12.5|61.4932,12.4462,18.75
52.7085,0,12.5|57.1008,6.22311,15.625
52.7085,6.22311,12.5|57.1008,12.4462,15.625
61.4932,0,12.5|70.278,12.4462,18.75
61.4932,0,12.5|65.8856,6.22311,15.625
61.4932,6.22311,12.5|65.8856,12.4462,15.625
52.7085,12.4462,12.5|61.4932,24.8924,18.75
52.7085,12.4462,12.5|57.1008,18.6693,15.625
52.7085,18.6693,12.5|57.1008,24.8924,15.625
61.4932,12.4462,12.5|70.278,24.8924,18.75
61.4932,12.4462,12.5|65.8856,18.6693,15.625
61.4932,18.6693,12.5|65.8856,24.8924,15.625
52.7085,0,18.75|61.4932,12.4462,25
52.7085,0,18.75|57.1008,6.22311,21.875
52.7085,6.22311,18.75|57.1008,12.4462,21.875
61.4932,0,18.75|70.278,12.4462,25
61.4932,0,18.75|65.8856,6.22311,21.875
61.4932,6.22311,18.75|65.8856,12.4462,21.875
52.7085,12.4462,18.75|61.4932,24.8924,25
52.7085,12.4462,18.75|57.1008,18.6693,21.875
52.7085,18.6693,18.75|57.1008,24.8924,21.875
61.4932,12.4462,18.75|70.278,24.8924,25
61.4932,12.4462,18.75|65.8856,18.6693,21.875
61.4932,18.6693,18.75|65.8856,24.8924,21.875
35.139,24.8924,12.5|52.7085,49.7848,25
35.139,24.8924,12.5|43.9237,37.3386,18.75
35.139,24.8924,12.5|39.5314,31.1155,15.625
35.139,31.1155,12.5|39.5314,37.3386,15.625
43.9237,24.8924,12.5|52.7085,37.3386,18.75
43.9237,24.8924,12.5|48.3161,31.1155,15.625
43.9237,31.1155,12.5|48.3161,37.3386,15.625
35.139,37.3386,12.5|43.9237,49.7848,18.75
35.139,37.3386,12.5|39.5314,43.5617,15.625
35.139,43.5617,12.5|39.5314,49.7848,15.625
43.9237,37.3386,12.5|52.7085,49.7848,18.75
43.9237,37.3386,12.5|48.3161,43.5617,15.625
43.9237,43.5617,12.5|48.3161,49.7848,15.625
35.139,24.8924,18.75|43.9237,37.3386,25
